,Unnamed: 0,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
0,11016,Elin Austevoll,F,21.0,177.0,73.0,Norway,NOR,1996 Summer,1996,Atlanta,Swimming,100 metres Breaststroke,nan
1,11017,Elin Austevoll,F,21.0,177.0,73.0,Norway,NOR,1996 Summer,1996,Atlanta,Swimming,200 metres Breaststroke,nan
2,11018,Elin Austevoll,F,21.0,177.0,73.0,Norway,NOR,1996 Summer,1996,Atlanta,Swimming,200 metres Individual Medley,nan
3,19993,Mette Bergmann,F,33.0,174.0,80.0,Norway,NOR,1996 Summer,1996,Atlanta,Athletics,Discus Throw,nan
4,33513,Cai Huijue,F,16.0,174.0,63.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,100 metres Butterfly,nan
5,33514,Cai Huijue,F,16.0,174.0,63.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,4 x 100 metres Medley Relay,Bronze
6,38523,Chao Na,F,16.0,178.0,69.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,4 x 100 metres Freestyle Relay,Silver
7,39303,Chen Jing,M,20.0,183.0,75.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,Long Jump,nan
8,39425,Chen Wenzhong,M,25.0,175.0,70.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,100 metres,nan
9,39426,Chen Wenzhong,M,25.0,175.0,70.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,200 metres,nan
10,39450,Chen Yan,F,15.0,168.0,58.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,200 metres Freestyle,nan
11,39451,Chen Yan,F,15.0,168.0,58.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,400 metres Freestyle,nan
12,39452,Chen Yan,F,15.0,168.0,58.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,4 x 200 metres Freestyle Relay,nan
13,39453,Chen Yan,F,15.0,168.0,58.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,400 metres Individual Medley,nan
14,39457,Chen Yan,F,17.0,168.0,59.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,100 metres Backstroke,nan
15,39458,Chen Yan,F,17.0,168.0,59.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,200 metres Backstroke,nan
16,39459,Chen Yan,F,17.0,168.0,59.0,China,CHN,1996 Summer,1996,Atlanta,Swimming,4 x 100 metres Medley Relay,Bronze
17,39461,Chen Yanhao,M,24.0,183.0,72.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,110 metres Hurdles,nan
18,48406,Irene Karine Dalby,F,25.0,181.0,73.0,Norway,NOR,1996 Summer,1996,Atlanta,Swimming,400 metres Freestyle,nan
19,48407,Irene Karine Dalby,F,25.0,181.0,73.0,Norway,NOR,1996 Summer,1996,Atlanta,Swimming,800 metres Freestyle,nan
20,57991,Atle Thorold Lancelot Douglas,M,28.0,192.0,79.0,Norway,NOR,1996 Summer,1996,Atlanta,Athletics,800 metres,nan
21,58976,Du Xiujie,F,24.0,176.0,64.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,200 metres,nan
22,58977,Du Xiujie,F,24.0,176.0,64.0,China,CHN,1996 Summer,1996,Atlanta,Athletics,400 metres,nan
23,65905,Pl Arne Fagernes,M,22.0,185.0,96.0,Norway,NOR,1996 Summer,1996,Atlanta,Athletics,Javelin Throw,nan
