,Unnamed: 0,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
0,454,Youcef Abdi,M,30.0,178.0,66.0,Australia,AUS,2008 Summer,2008,Beijing,Athletics,"3,000 metres Steeplechase",nan
1,455,Youcef Abdi,M,34.0,178.0,66.0,Australia,AUS,2012 Summer,2012,London,Athletics,"3,000 metres Steeplechase",nan
2,655,Addis Abebe,M,21.0,160.0,50.0,Ethiopia,ETH,1992 Summer,1992,Barcelona,Athletics,"5,000 metres",nan
3,656,Addis Abebe,M,21.0,160.0,50.0,Ethiopia,ETH,1992 Summer,1992,Barcelona,Athletics,"10,000 metres",Bronze
4,721,Gezahgne Abera,M,22.0,166.0,58.0,Ethiopia,ETH,2000 Summer,2000,Sydney,Athletics,Marathon,Gold
5,722,Tesfaye Abera Dibaba,M,24.0,192.0,68.0,Ethiopia,ETH,2016 Summer,2016,Rio de Janeiro,Athletics,Marathon,nan
6,814,"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,Australia,AUS,2016 Summer,2016,Rio de Janeiro,Swimming,50 metres Freestyle,nan
7,815,"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,Australia,AUS,2016 Summer,2016,Rio de Janeiro,Swimming,4 x 100 metres Freestyle Relay,Bronze
8,1049,Ayele Abshero Biza,M,21.0,168.0,62.0,Ethiopia,ETH,2012 Summer,2012,London,Athletics,Marathon,nan
9,1480,Liam Adams,M,29.0,178.0,64.0,Australia,AUS,2016 Summer,2016,Rio de Janeiro,Athletics,Marathon,nan
10,1481,Luke Kendall Adams,M,27.0,189.0,70.0,Australia,AUS,2004 Summer,2004,Athina,Athletics,20 kilometres Walk,nan
11,1482,Luke Kendall Adams,M,31.0,189.0,70.0,Australia,AUS,2008 Summer,2008,Beijing,Athletics,20 kilometres Walk,nan
12,1483,Luke Kendall Adams,M,31.0,189.0,70.0,Australia,AUS,2008 Summer,2008,Beijing,Athletics,50 kilometres Walk,nan
13,1484,Luke Kendall Adams,M,35.0,189.0,70.0,Australia,AUS,2012 Summer,2012,London,Athletics,50 kilometres Walk,nan
14,1560,"Frances ""Fran"" Adcock",F,20.0,178.0,72.0,Australia,AUS,2004 Summer,2004,Athina,Swimming,200 metres Backstroke,nan
15,1676,Berhane Adere Debala,F,22.0,170.0,50.0,Ethiopia,ETH,1996 Summer,1996,Atlanta,Athletics,"10,000 metres",nan
16,1677,Berhane Adere Debala,F,27.0,170.0,50.0,Ethiopia,ETH,2000 Summer,2000,Sydney,Athletics,"10,000 metres",nan
17,1678,Berhane Adere Debala,F,35.0,170.0,50.0,Ethiopia,ETH,2008 Summer,2008,Beijing,Athletics,Marathon,nan
18,2347,"Nicholas Mark ""Nick"" A'Hern",M,23.0,169.0,61.0,Australia,AUS,1992 Summer,1992,Barcelona,Athletics,20 kilometres Walk,nan
19,2348,"Nicholas Mark ""Nick"" A'Hern",M,27.0,169.0,61.0,Australia,AUS,1996 Summer,1996,Atlanta,Athletics,20 kilometres Walk,nan
20,2349,"Nicholas Mark ""Nick"" A'Hern",M,31.0,169.0,61.0,Australia,AUS,2000 Summer,2000,Sydney,Athletics,20 kilometres Walk,nan
21,2518,Zemzem Ahmed Deko,F,23.0,170.0,53.0,Ethiopia,ETH,2008 Summer,2008,Beijing,Athletics,"3,000 metres Steeplechase",nan
22,3881,Yenew Alamirew Getahun,M,22.0,178.0,57.0,Ethiopia,ETH,2012 Summer,2012,London,Athletics,"5,000 metres",nan
23,4435,Moges Alemayehu,M,31.0,166.0,53.0,Ethiopia,ETH,1980 Summer,1980,Moskva,Athletics,Marathon,nan
24,4436,Simretu Alemayehu,M,29.0,182.0,68.0,Ethiopia,ETH,2000 Summer,2000,Sydney,Athletics,Marathon,nan
25,4441,Berhanu Alemu,M,18.0,179.0,63.0,Ethiopia,ETH,2000 Summer,2000,Sydney,Athletics,"1,500 metres",nan
26,4442,Berhanu Alemu,M,22.0,179.0,63.0,Ethiopia,ETH,2004 Summer,2004,Athina,Athletics,800 metres,nan
27,4443,Dagne Alemu,M,19.0,171.0,58.0,Ethiopia,ETH,2000 Summer,2000,Sydney,Athletics,"5,000 metres",nan
28,4444,Elfenesh Alemu,F,25.0,165.0,51.0,Ethiopia,ETH,2000 Summer,2000,Sydney,Athletics,Marathon,nan
