,Unnamed: 0,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
1881,151591,Jarbas Mascarenhas Jnior,M,23.0,185.0,80.0,Brazil,BRA,2004 Summer,2004,Athina,Athletics,100 meters,nan
1882,151718,Darya Maslova,F,21.0,165.0,44.0,Kyrgyzstan,KGZ,2016 Summer,2016,Rio de Janeiro,Athletics,"10,000 meters",nan
1883,151813,Wohib Masresha,M,22.0,173.0,53.0,Ethiopia,ETH,1968 Summer,1968,Mexico City,Athletics,"10,000 meters",nan
1884,151814,Wohib Masresha,M,26.0,173.0,53.0,Ethiopia,ETH,1972 Summer,1972,Munich,Athletics,"10,000 meters",nan
1885,151841,Alifu Albert Massaquoi,M,31.0,172.0,68.0,Sierra Leone,SLE,1968 Summer,1968,Mexico City,Athletics,"10,000 meters",nan
1886,152033,Marisa Masullo,F,21.0,170.0,60.0,Italy,ITA,1980 Summer,1980,Moskva,Athletics,100 meters,nan
1887,152037,Marisa Masullo,F,29.0,170.0,60.0,Italy,ITA,1988 Summer,1988,Seoul,Athletics,100 meters,nan
1888,152066,Flix Mata,M,21.0,180.0,77.0,Venezuela,VEN,1972 Summer,1972,Munich,Athletics,100 meters,nan
1889,152190,Martin Irungu Mathathi,M,22.0,165.0,49.0,Kenya,KEN,2008 Summer,2008,Beijing,Athletics,"10,000 meters",nan
1890,152212,Marlene Judith Mathews-Willard (-O'Shea),F,22.0,170.0,64.0,Australia,AUS,1956 Summer,1956,Melbourne,Athletics,100 meters,Bronze
1891,152214,Marlene Judith Mathews-Willard (-O'Shea),F,26.0,170.0,64.0,Australia,AUS,1960 Summer,1960,Roma,Athletics,100 meters,nan
1892,152367,Kalle Aukusti Matilainen,M,28.0,167.0,58.0,Finland,FIN,1928 Summer,1928,Amsterdam,Athletics,"10,000 meters",nan
1893,152400,Moustafa Matola,M,23.0,163.0,55.0,Malawi,MAW,1972 Summer,1972,Munich,Athletics,100 meters,nan
1894,152432,Jaroslav Matouek,M,21.0,182.0,72.0,Czechoslovakia,TCH,1972 Summer,1972,Munich,Athletics,100 meters,nan
1895,152601,Takayuki Matsumiya,M,28.0,163.0,49.0,Japan,JPN,2008 Summer,2008,Beijing,Athletics,"10,000 meters",nan
1896,152651,Akemi Matsuno,F,20.0,148.0,35.0,Japan,JPN,1988 Summer,1988,Seoul,Athletics,"10,000 meters",nan
1897,152776,Sven Matthes,M,19.0,186.0,77.0,East Germany,GDR,1988 Summer,1988,Seoul,Athletics,100 meters,nan
1898,152781,Brenda Patricia Matthews,F,23.0,170.0,62.0,New Zealand,NZL,1972 Summer,1972,Munich,Athletics,100 meters,nan
1899,152981,Lyudmila Mikhaylovna Matveyeva,F,31.0,164.0,49.0,Soviet Union,URS,1988 Summer,1988,Seoul,Athletics,"10,000 meters",nan
1900,152982,Lyudmila Mikhaylovna Matveyeva,F,35.0,164.0,49.0,Unified Team,EUN,1992 Summer,1992,Barcelona,Athletics,"10,000 meters",nan
1901,153318,"William Wyman ""Willie"" May",M,21.0,175.0,73.0,United States,USA,1908 Summer,1908,London,Athletics,100 meters,nan
1902,153345,Myra Mayberry-Wilkinson,F,27.0,170.0,58.0,Puerto Rico,PUR,1992 Summer,1992,Barcelona,Athletics,100 meters,nan
1903,153347,Myra Mayberry-Wilkinson,F,31.0,170.0,58.0,Puerto Rico,PUR,1996 Summer,1996,Atlanta,Athletics,100 meters,nan
1904,153446,Natasha Laren Mayers,F,21.0,168.0,69.0,Saint Vincent and the Grenadines,VIN,2000 Summer,2000,Sydney,Athletics,100 meters,nan
1905,153447,Natasha Laren Mayers,F,25.0,168.0,69.0,Saint Vincent and the Grenadines,VIN,2004 Summer,2004,Athina,Athletics,100 meters,nan
1906,153487,Freddy Santiago Mayola Fernndez,M,22.0,176.0,74.0,Cuba,CUB,2000 Summer,2000,Sydney,Athletics,100 meters,nan
1907,153527,Karin Mayr-Krifka (-Knoll-),F,29.0,179.0,69.0,Austria,AUT,2000 Summer,2000,Sydney,Athletics,100 meters,nan
1908,153529,Karin Mayr-Krifka (-Knoll-),F,33.0,179.0,69.0,Austria,AUT,2004 Summer,2004,Athina,Athletics,100 meters,nan
1909,153629,Ral Giraldo Mazorra Zamora,M,19.0,173.0,68.0,Cuba,CUB,1948 Summer,1948,London,Athletics,100 meters,nan
1910,153631,Ral Giraldo Mazorra Zamora,M,23.0,173.0,68.0,Cuba,CUB,1952 Summer,1952,Helsinki,Athletics,100 meters,nan
