,Country,GDP_per_cap,Life_exp,Unemployment,Continent
111,Morocco,2919.3,76.0,10.4,NorthernAfrica
112,Mozambique,529.2,58.1,24.1,EasternAfrica
113,Myanmar,1161.5,68.3,0.8,South-easternAsia
114,Namibia,4673.6,64.3,24.9,SouthernAfrica
115,Nauru,18469.2,64.8,23.0,Micronesia
116,Nepal,724.5,70.4,3.0,SouthernAsia
117,Netherlands,44332.1,83.1,5.6,WesternEurope
118,New Caledonia,33965.7,79.3,15.1,Melanesia
119,New Zealand,38294.3,83.1,5.5,Oceania
120,Nicaragua,2086.9,77.5,6.1,CentralAmerica
121,Niger,359.0,59.5,2.7,WesternAfrica
122,Nigeria,2714.5,52.6,5.4,WesternAfrica
123,Norway,74185.5,83.6,5.1,NorthernEurope
124,Oman,15550.8,78.7,17.8,WesternAsia
125,Pakistan,1410.4,66.8,5.9,SouthernAsia
126,Panama,13268.1,80.5,6.2,CentralAmerica
127,Papua New Guinea,2797.6,67.4,2.5,Melanesia
128,Paraguay,4174.4,74.9,5.5,SouthAmerica
129,Peru,6069.1,76.8,5.3,SouthAmerica
130,Philippines,2904.2,72.1,5.9,South-easternAsia
131,Poland,12355.5,81.0,5.3,EasternEurope
132,Portugal,19239.2,83.5,10.5,SouthernEurope
133,Puerto Rico,27939.0,83.2,12.8,Caribbean
134,Qatar,73653.4,79.4,0.3,WesternAsia
135,Republic of Korea,27396.7,84.4,3.6,EasternAsia
136,Republic of Moldova,1591.4,75.2,5.0,EasternEurope
137,Romania,9120.7,78.4,7.1,EasternEurope
138,Russian Federation,9243.3,75.9,5.8,EasternEurope
139,Rwanda,697.3,67.1,2.4,EasternAfrica
140,Saint Lucia,7839.4,77.6,19.0,Caribbean
141,Saint Vincent and the Grenadines,6739.2,74.9,19.1,Caribbean
142,Samoa,4006.0,77.4,6.5,Polynesia
143,San Marino,49240.2,86.4,6.6,SouthernEurope
144,Sao Tome and Principe,1752.8,68.2,13.6,MiddleAfrica
145,Saudi Arabia,20710.6,75.6,5.5,WesternAsia
146,Senegal,901.1,67.5,9.3,WesternAfrica
147,Serbia,5238.6,77.5,15.5,SouthernEurope
148,Seychelles,14133.2,77.9,4.1,EasternAfrica
149,Sierra Leone,694.8,50.7,3.1,WesternAfrica
150,Singapore,52239.0,84.5,2.0,South-easternAsia
151,Slovakia,16082.5,79.8,9.9,EasternEurope
152,Slovenia,20689.8,83.2,8.1,SouthernEurope
153,Solomon Islands,1841.6,71.1,31.4,Melanesia
154,Somalia,144.5,56.5,6.6,EasternAfrica
155,South Africa,5773.0,63.0,26.0,SouthernAfrica
156,Spain,25865.4,85.3,18.3,SouthernEurope
157,Sri Lanka,3973.7,78.0,5.2,SouthernAsia
158,State of Palestine,2715.5,74.8,24.2,WesternAsia
159,Sudan,1977.0,65.1,13.4,NorthernAfrica
160,Suriname,8985.3,74.2,9.9,SouthAmerica
161,Swaziland,3211.7,58.2,25.1,SouthernAfrica
162,Sweden,50687.5,83.7,7.3,NorthernEurope
163,Switzerland,80831.1,84.8,4.6,WesternEurope
164,Syrian Arab Republic,1534.5,76.3,13.8,WesternAsia
165,Tajikistan,925.9,73.5,10.8,CentralAsia
166,Thailand,5814.8,78.4,0.6,South-easternAsia
