,Unnamed: 0,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
0,916,Harold Maurice Abrahams,M,24.0,183.0,75.0,Great Britain,GBR,1924 Summer,1924,Paris,Athletics,Athletics Men's 100 metres,Gold
1,12654,Donovan Bailey,M,28.0,183.0,82.0,Canada,CAN,1996 Summer,1996,Atlanta,Athletics,Athletics Men's 100 metres,Gold
2,12685,Emmanuel McDonald Bailey,M,31.0,180.0,65.0,Great Britain,GBR,1952 Summer,1952,Helsinki,Athletics,Athletics Men's 100 metres,Bronze
3,12941,Walter Thane Baker,M,25.0,183.0,72.0,United States,USA,1956 Summer,1956,Melbourne,Athletics,Athletics Men's 100 metres,Silver
4,22992,Yohan Blake,M,22.0,180.0,80.0,Jamaica,JAM,2012 Summer,2012,London,Athletics,Athletics Men's 100 metres,Silver
5,24712,Ato Jabari Boldon,M,22.0,176.0,75.0,Trinidad and Tobago,TTO,1996 Summer,1996,Atlanta,Athletics,Athletics Men's 100 metres,Bronze
6,24714,Ato Jabari Boldon,M,26.0,176.0,75.0,Trinidad and Tobago,TTO,2000 Summer,2000,Sydney,Athletics,Athletics Men's 100 metres,Silver
7,24878,Usain St. Leo Bolt,M,21.0,196.0,95.0,Jamaica,JAM,2008 Summer,2008,Beijing,Athletics,Athletics Men's 100 metres,Gold
8,24881,Usain St. Leo Bolt,M,25.0,196.0,95.0,Jamaica,JAM,2012 Summer,2012,London,Athletics,Athletics Men's 100 metres,Gold
9,24884,Usain St. Leo Bolt,M,29.0,196.0,95.0,Jamaica,JAM,2016 Summer,2016,Rio de Janeiro,Athletics,Athletics Men's 100 metres,Gold
10,26262,Valeriy Pylypovych Borzov,M,22.0,183.0,80.0,Soviet Union,URS,1972 Summer,1972,Munich,Athletics,Athletics Men's 100 metres,Gold
11,26265,Valeriy Pylypovych Borzov,M,26.0,183.0,80.0,Soviet Union,URS,1976 Summer,1976,Montreal,Athletics,Athletics Men's 100 metres,Bronze
12,32334,"Thomas Edmund ""Tom"" Burke",M,21.0,183.0,66.0,United States,USA,1896 Summer,1896,Athina,Athletics,Athletics Men's 100 metres,Gold
13,36323,"Nathaniel John ""Nate"" Cartmell",M,21.0,182.0,71.0,United States,USA,1904 Summer,1904,St. Louis,Athletics,Athletics Men's 100 metres,Silver
14,41327,Linford Ecerio Christie,M,28.0,189.0,94.0,Great Britain,GBR,1988 Summer,1988,Seoul,Athletics,Athletics Men's 100 metres,Silver
15,41330,Linford Ecerio Christie,M,32.0,189.0,94.0,Great Britain,GBR,1992 Summer,1992,Barcelona,Athletics,Athletics Men's 100 metres,Gold
16,45843,Ralph Cook Craig,M,22.0,182.0,73.0,United States,USA,1912 Summer,1912,Stockholm,Athletics,Athletics Men's 100 metres,Gold
17,45943,Hasely Joachim Crawford,M,25.0,187.0,90.0,Trinidad and Tobago,TTO,1976 Summer,1976,Montreal,Athletics,Athletics Men's 100 metres,Gold
18,50820,Andre De Grasse,M,21.0,176.0,70.0,Canada,CAN,2016 Summer,2016,Rio de Janeiro,Athletics,Athletics Men's 100 metres,Bronze
19,55694,William Harrison Dillard,M,25.0,178.0,69.0,United States,USA,1948 Summer,1948,London,Athletics,Athletics Men's 100 metres,Gold
20,56243,Walter Dix,M,22.0,175.0,80.0,United States,USA,2008 Summer,2008,Beijing,Athletics,Athletics Men's 100 metres,Bronze
21,65554,"Henry Norwood ""Barney"" Ewell",M,30.0,180.0,71.0,United States,USA,1948 Summer,1948,London,Athletics,Athletics Men's 100 metres,Silver
22,69160,Enrique Figuerola Camu,M,26.0,167.0,67.0,Cuba,CUB,1964 Summer,1964,Tokyo,Athletics,Athletics Men's 100 metres,Silver
23,72620,"Frank ""Frankie"" Fredericks",M,24.0,180.0,73.0,Namibia,NAM,1992 Summer,1992,Barcelona,Athletics,Athletics Men's 100 metres,Silver
24,72622,"Frank ""Frankie"" Fredericks",M,28.0,180.0,73.0,Namibia,NAM,1996 Summer,1996,Atlanta,Athletics,Athletics Men's 100 metres,Silver
25,76918,Justin Alexander Gatlin,M,22.0,186.0,80.0,United States,USA,2004 Summer,2004,Athina,Athletics,Athletics Men's 100 metres,Gold
26,76921,Justin Alexander Gatlin,M,30.0,186.0,80.0,United States,USA,2012 Summer,2012,London,Athletics,Athletics Men's 100 metres,Bronze
